Review,Liked,Review_cleaned,Polarity,Length,Word Counts
- They never brought a salad we asked for.,0,"['', 'never', 'brought', 'salad', 'asked']",0.0,38,5
"This hole in the wall has great Mexican street tacos, and friendly staff.",1,"['hole', 'wall', 'great', 'mexican', 'street', 'taco', 'friendly', 'staff']",0.39166666666666666,68,8
"Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.",0,"['took', 'hour', 'get', 'food', '4', 'table', 'restaurant', 'food', 'luke', 'warm', 'sever', 'running', 'around', 'like', 'totally', 'overwhelmed']",0.3,132,16
The worst was the salmon sashimi.,0,"['worst', 'salmon', 'sashimi']",-1.0,28,3
"Also there are combos like a burger, fries, and beer for 23 which is a decent deal.",1,"['also', 'combo', 'like', 'burger', 'fry', 'beer', '23', 'decent', 'deal']",0.16666666666666666,66,9
This was like the final blow!,0,"['like', 'final', 'blow']",0.0,23,3
I found this place by accident and I could not be happier.,1,"['found', 'place', 'accident', 'could', 'happier']",0.0,46,5
"seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.",0,"['seems', 'like', 'good', 'quick', 'place', 'grab', 'bite', 'familiar', 'pub', 'food', 'favor', 'look', 'elsewhere']",0.4694444444444444,104,13
"Overall, I like this place a lot.",1,"['overall', 'like', 'place', 'lot']",0.0,32,4
The only redeeming quality of the restaurant was that it was very inexpensive.,1,"['redeeming', 'quality', 'restaurant', 'inexpensive']",0.5,50,4
Ample portions and good prices.,1,"['ample', 'portion', 'good', 'price']",0.7,34,4
"Poor service, the waiter made me feel like I was stupid every time he came to the table.",0,"['poor', 'service', 'waiter', 'made', 'feel', 'like', 'stupid', 'every', 'time', 'came', 'table']",-0.6,87,11
My first visit to Hiro was a delight!,1,"['first', 'visit', 'hiro', 'delight']",0.25,34,4
Service sucks.,0,"['service', 'suck']",0.0,18,2
The shrimp tender and moist.,1,"['shrimp', 'tender', 'moist']",0.0,27,3
There is not a deal good enough that would drag me into that establishment again.,0,"['deal', 'good', 'enough', 'would', 'drag', 'establishment']",0.19999999999999998,55,6
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.,0,"['hard', 'judge', 'whether', 'side', 'good', 'grossed', 'melted', 'styrofoam', 'didnt', 'want', 'eat', 'fear', 'getting', 'sick']",-0.10198412698412701,116,14
"On a positive note, our server was very attentive and provided great service.",1,"['positive', 'note', 'server', 'attentive', 'provided', 'great', 'service']",0.47575757575757577,69,7
"Frozen pucks of disgust, with some of the worst people behind the register.",0,"['frozen', 'puck', 'disgust', 'worst', 'people', 'behind', 'register']",-0.7,64,7
The only thing I did like was the prime rib and dessert section.,1,"['thing', 'like', 'prime', 'rib', 'dessert', 'section']",0.0,50,6
It's too bad the food is so damn generic.,0,"['bad', 'food', 'damn', 'generic']",-0.3499999999999999,31,4
"The burger is good beef, cooked just right.",1,"['burger', 'good', 'beef', 'cooked', 'right']",0.4928571428571428,41,5
If you want a sandwich just go to any Firehouse!!!!!,1,"['want', 'sandwich', 'go', 'firehouse']",0.0,36,4
"My side Greek salad with the Greek dressing was so tasty, and the pita and hummus was very refreshing.",1,"['side', 'greek', 'salad', 'greek', 'dressing', 'tasty', 'pita', 'hummus', 'refreshing']",0.16666666666666666,80,9
We ordered the duck rare and it was pink and tender on the inside with a nice char on the outside.,1,"['ordered', 'duck', 'rare', 'pink', 'tender', 'inside', 'nice', 'char', 'outside']",0.19999999999999998,74,9
He came running after us when he realized my husband had left his sunglasses on the table.,1,"['came', 'running', 'u', 'realized', 'husband', 'left', 'sunglass', 'table']",0.0,69,8
Their chow mein is so good!,1,"['chow', 'mein', 'good']",0.7,22,3
"They have horrible attitudes towards customers, and talk down to each one when customers don't enjoy their food.",0,"['horrible', 'attitude', 'towards', 'customer', 'talk', 'one', 'customer', 'dont', 'enjoy', 'food']",-0.3,90,10
The portion was huge!,1,"['portion', 'huge']",0.4000000000000001,18,2
"Loved it...friendly servers, great food, wonderful and imaginative menu.",1,"['loved', 'itfriendly', 'server', 'great', 'food', 'wonderful', 'imaginative', 'menu']",0.775,79,8
The Heart Attack Grill in downtown Vegas is an absolutely flat-lined excuse for a restaurant.,0,"['heart', 'attack', 'grill', 'downtown', 'vega', 'absolutely', 'flatlined', 'excuse', 'restaurant']",0.07500000000000001,91,9
Not much seafood and like 5 strings of pasta at the bottom.,0,"['much', 'seafood', 'like', '5', 'string', 'pasta', 'bottom']",0.2,55,7
"The salad had just the right amount of sauce to not over power the scallop, which was perfectly cooked.",1,"['salad', 'right', 'amount', 'sauce', 'power', 'scallop', 'perfectly', 'cooked']",0.6428571428571428,73,8
"The ripped banana was not only ripped, but petrified and tasteless.",0,"['ripped', 'banana', 'ripped', 'petrified', 'tasteless']",-0.6,52,5
At least think to refill my water before I struggle to wave you over for 10 minutes.,0,"['least', 'think', 'refill', 'water', 'struggle', 'wave', '10', 'minute']",-0.3,66,8
This place receives stars for their APPETIZERS!!!,1,"['place', 'receives', 'star', 'appetizer']",0.0,39,4
The cocktails are all handmade and delicious.,1,"['cocktail', 'handmade', 'delicious']",1.0,35,3
We'd definitely go back here again.,1,"['wed', 'definitely', 'go', 'back']",0.0,32,4
We are so glad we found this place.,1,"['glad', 'found', 'place']",0.5,24,3
"Great food and service, huge portions and they give a military discount.",1,"['great', 'food', 'service', 'huge', 'portion', 'give', 'military', 'discount']",0.3666666666666667,72,8
Always a great time at Dos Gringos!,1,"['always', 'great', 'time', 'do', 'gringo']",0.8,39,5
Update.....went back for a second time and it was still just as amazing,1,"['updatewent', 'back', 'second', 'time', 'still', 'amazing']",0.20000000000000004,55,6
We got the food and apparently they have never heard of salt and the batter on the fish was chewy.,0,"['got', 'food', 'apparently', 'never', 'heard', 'salt', 'batter', 'fish', 'chewy']",-0.025,74,9
A great way to finish a great.,1,"['great', 'way', 'finish', 'great']",0.8,32,4
"The deal included 5 tastings and 2 drinks, and Jeff went above and beyond what we expected.",1,"['deal', 'included', '5', 'tasting', '2', 'drink', 'jeff', 'went', 'beyond', 'expected']",-0.1,79,10
"- Really, really good rice, all the time.",1,"['', 'really', 'really', 'good', 'rice', 'time']",0.7,43,6
The service was meh.,0,"['service', 'meh']",0.0,17,2
"It took over 30 min to get their milkshake, which was nothing more than chocolate milk.",0,"['took', '30', 'min', 'get', 'milkshake', 'nothing', 'chocolate', 'milk']",0.0,66,8
"I guess I should have known that this place would suck, because it is inside of the Excalibur, but I didn't use my common sense.",0,"['guess', 'known', 'place', 'would', 'suck', 'inside', 'excalibur', 'didnt', 'use', 'common', 'sense']",-0.3,92,11
The scallop dish is quite appalling for value as well.,0,"['scallop', 'dish', 'quite', 'appalling', 'value', 'well']",-0.35,53,6
2 times - Very Bad Customer Service !,0,"['2', 'time', 'bad', 'customer', 'service', '']",-0.6999999999999998,42,6
The sweet potato fries were very good and seasoned well.,1,"['sweet', 'potato', 'fry', 'good', 'seasoned', 'well']",0.4333333333333333,49,6
Today is the second time I've been to their lunch buffet and it was pretty good.,1,"['today', 'second', 'time', 'ive', 'lunch', 'buffet', 'pretty', 'good']",0.31666666666666665,64,8
There is so much good food in Vegas that I feel cheated for wasting an eating opportunity by going to Rice and Company.,0,"['much', 'good', 'food', 'vega', 'feel', 'cheated', 'wasting', 'eating', 'opportunity', 'going', 'rice', 'company']",0.7,104,12
Coming here is like experiencing an underwhelming relationship where both parties can't wait for the other person to ask to break up.,0,"['coming', 'like', 'experiencing', 'underwhelming', 'relationship', 'party', 'cant', 'wait', 'person', 'ask', 'break']",0.0,108,11
walked in and the place smelled like an old grease trap and only 2 others there eating.,0,"['walked', 'place', 'smelled', 'like', 'old', 'grease', 'trap', '2', 'others', 'eating']",0.1,79,10
The turkey and roast beef were bland.,0,"['turkey', 'roast', 'beef', 'bland']",-0.16666666666666666,33,4
This place has it!,1,['place'],0.0,9,1
The pan cakes everyone are raving about taste like a sugary disaster tailored to the palate of a six year old.,0,"['pan', 'cake', 'everyone', 'raving', 'taste', 'like', 'sugary', 'disaster', 'tailored', 'palate', 'six', 'year', 'old']",0.1,108,13
I love the Pho and the spring rolls oh so yummy you have to try.,1,"['love', 'pho', 'spring', 'roll', 'oh', 'yummy', 'try']",0.5,49,7
The poor batter to meat ratio made the chicken tenders very unsatisfying.,0,"['poor', 'batter', 'meat', 'ratio', 'made', 'chicken', 'tender', 'unsatisfying']",-0.5,73,8
All I have to say is the food was amazing!!!,1,"['say', 'food', 'amazing']",0.6000000000000001,24,3
Omelets are to die for!,1,"['omelet', 'die']",0.0,16,2
Everything was fresh and delicious!,1,"['everything', 'fresh', 'delicious']",0.65,34,3
"In summary, this was a largely disappointing dining experience.",0,"['summary', 'largely', 'disappointing', 'dining', 'experience']",-0.6,59,5
"It's like a really sexy party in your mouth, where you're outrageously flirting with the hottest person at the party.",1,"['like', 'really', 'sexy', 'party', 'mouth', 'youre', 'outrageously', 'flirting', 'hottest', 'person', 'party']",-0.25,101,11
"Never been to Hard Rock Casino before, WILL NEVER EVER STEP FORWARD IN IT AGAIN!",0,"['never', 'hard', 'rock', 'casino', 'never', 'ever', 'step', 'forward']",0.14583333333333334,64,8
Best breakfast buffet!!!,1,"['best', 'breakfast', 'buffet']",1.0,29,3
say bye bye to your tip lady!,0,"['say', 'bye', 'bye', 'tip', 'lady']",0.0,32,5
We'll never go again.,0,"['well', 'never', 'go']",0.0,21,3
Will be back again!,1,['back'],0.0,8,1
Food arrived quickly!,1,"['food', 'arrived', 'quickly']",0.3333333333333333,28,3
It was not good.,0,['good'],0.7,8,1
"On the up side, their cafe serves really good food.",1,"['side', 'cafe', 'serf', 'really', 'good', 'food']",0.7,45,6
"Our server was fantastic and when he found out the wife loves roasted garlic and bone marrow, he added extra to our meal and another marrow to go!",1,"['server', 'fantastic', 'found', 'wife', 'love', 'roasted', 'garlic', 'bone', 'marrow', 'added', 'extra', 'meal', 'another', 'marrow', 'go']",0.3,126,15
"The only good thing was our waiter, he was very helpful and kept the bloddy mary's coming.",1,"['good', 'thing', 'waiter', 'helpful', 'kept', 'bloddy', 'mary', 'coming']",0.7,67,8
"Best Buffet in town, for the price you cannot beat it.",1,"['best', 'buffet', 'town', 'price', 'cannot', 'beat']",1.0,48,6
"I LOVED their mussels cooked in this wine reduction, the duck was tender, and their potato dishes were delicious.",1,"['loved', 'mussel', 'cooked', 'wine', 'reduction', 'duck', 'tender', 'potato', 'dish', 'delicious']",0.85,90,10
This is one of the better buffets that I have been to.,1,"['one', 'better', 'buffet']",0.5,25,3
So we went to Tigerlilly and had a fantastic afternoon!,1,"['went', 'tigerlilly', 'fantastic', 'afternoon']",0.4,45,4
"The food was delicious, our bartender was attentive and personable AND we got a great deal!",1,"['food', 'delicious', 'bartender', 'attentive', 'personable', 'got', 'great', 'deal']",0.7333333333333334,78,8
The ambience is wonderful and there is music playing.,1,"['ambience', 'wonderful', 'music', 'playing']",1.0,42,4
Will go back next trip out.,1,"['go', 'back', 'next', 'trip']",0.0,27,4
Sooooo good!!,1,"['sooooo', 'good']",0.7,17,2
"REAL sushi lovers, let's be honest - Yama is not that good.",0,"['real', 'sushi', 'lover', 'let', 'honest', 'yama', 'good']",0.5,53,7
"At least 40min passed in between us ordering and the food arriving, and it wasn't that busy.",0,"['least', '40min', 'passed', 'u', 'ordering', 'food', 'arriving', 'wasnt', 'busy']",-0.09999999999999999,74,9
This is a really fantastic Thai restaurant which is definitely worth a visit.,1,"['really', 'fantastic', 'thai', 'restaurant', 'definitely', 'worth', 'visit']",0.35,71,7
"Nice, spicy and tender.",1,"['nice', 'spicy', 'tender']",0.6,25,3
Good prices.,1,"['good', 'price']",0.7,16,2
Check it out.,1,['check'],0.0,9,1
It was pretty gross!,0,"['pretty', 'gross']",0.125,18,2
I've had better atmosphere.,0,"['ive', 'better', 'atmosphere']",0.5,29,3
Kind of hard to mess up a steak but they did.,0,"['kind', 'hard', 'mess', 'steak']",0.04444444444444443,30,4
"Although I very much liked the look and sound of this place, the actual experience was a bit disappointing.",0,"['although', 'much', 'liked', 'look', 'sound', 'place', 'actual', 'experience', 'bit', 'disappointing']",0.1,94,10
I just don't know how this place managed to served the blandest food I have ever eaten when they are preparing Indian cuisine.,0,"['dont', 'know', 'place', 'managed', 'served', 'blandest', 'food', 'ever', 'eaten', 'preparing', 'indian', 'cuisine']",0.0,106,12
"Worst service to boot, but that is the least of their worries.",0,"['worst', 'service', 'boot', 'least', 'worry']",-0.65,42,5
Service was fine and the waitress was friendly.,1,"['service', 'fine', 'waitress', 'friendly']",0.39583333333333337,40,4
"The guys all had steaks, and our steak loving son who has had steak at the best and worst places said it was the best steak he's ever eaten.",1,"['guy', 'steak', 'steak', 'loving', 'son', 'steak', 'best', 'worst', 'place', 'said', 'best', 'steak', 'he', 'ever', 'eaten']",0.4,111,15
"We thought you'd have to venture further away to get good sushi, but this place really hit the spot that night.",1,"['thought', 'youd', 'venture', 'away', 'get', 'good', 'sushi', 'place', 'really', 'hit', 'spot', 'night']",0.44999999999999996,94,12
"Host staff were, for lack of a better word, BITCHES!",0,"['host', 'staff', 'lack', 'better', 'word', 'bitch']",0.5,47,6
Bland... Not a liking this place for a number of reasons and I don't want to waste time on bad reviewing.. I'll leave it at that...,0,"['bland', 'liking', 'place', 'number', 'reason', 'dont', 'want', 'waste', 'time', 'bad', 'reviewing', 'ill', 'leave']",-0.3916666666666666,105,13
"Phenomenal food, service and ambiance.",1,"['phenomenal', 'food', 'service', 'ambiance']",0.5,42,4
I wouldn't return.,0,"['wouldnt', 'return']",0.0,20,2
"Definitely worth venturing off the strip for the pork belly, will return next time I'm in Vegas.",1,"['definitely', 'worth', 'venturing', 'strip', 'pork', 'belly', 'return', 'next', 'time', 'im', 'vega']",0.15,92,11
This place is way too overpriced for mediocre food.,0,"['place', 'way', 'overpriced', 'mediocre', 'food']",-0.5,46,5
Penne vodka excellent!,1,"['penne', 'vodka', 'excellent']",1.0,29,3
"They have a good selection of food including a massive meatloaf sandwich, a crispy chicken wrap, a delish tuna melt and some tasty burgers.",1,"['good', 'selection', 'food', 'including', 'massive', 'meatloaf', 'sandwich', 'crispy', 'chicken', 'wrap', 'delish', 'tuna', 'melt', 'tasty', 'burger']",0.033333333333333326,137,15
The management is rude.,0,"['management', 'rude']",-0.3,21,2
"Delicious NYC bagels, good selections of cream cheese, real Lox with capers even.",1,"['delicious', 'nyc', 'bagel', 'good', 'selection', 'cream', 'cheese', 'real', 'lox', 'caper', 'even']",0.6333333333333333,91,11
"Great Subway, in fact it's so good when you come here every other Subway will not meet your expectations.",1,"['great', 'subway', 'fact', 'good', 'come', 'every', 'subway', 'meet', 'expectation']",0.75,77,9
I had a seriously solid breakfast here.,1,"['seriously', 'solid', 'breakfast']",0.0,33,3
This is one of the best bars with food in Vegas.,1,"['one', 'best', 'bar', 'food', 'vega']",1.0,34,5
"He was extremely rude and really, there are so many other restaurants I would love to dine at during a weekend in Vegas.",0,"['extremely', 'rude', 'really', 'many', 'restaurant', 'would', 'love', 'dine', 'weekend', 'vega']",0.2333333333333333,88,10
My drink was never empty and he made some really great menu suggestions.,1,"['drink', 'never', 'empty', 'made', 'really', 'great', 'menu', 'suggestion']",0.42500000000000004,69,8
Don't do it!!!!,0,['dont'],0.0,8,1
The waiter wasn't helpful or friendly and rarely checked on us.,0,"['waiter', 'wasnt', 'helpful', 'friendly', 'rarely', 'checked', 'u']",0.3375,62,7
My husband and I ate lunch here and were very disappointed with the food and service.,0,"['husband', 'ate', 'lunch', 'disappointed', 'food', 'service']",-0.75,57,6
And the red curry had so much bamboo shoots and wasn't very tasty to me.,0,"['red', 'curry', 'much', 'bamboo', 'shoot', 'wasnt', 'tasty']",0.1,55,7
Nice blanket of moz over top but i feel like this was done to cover up the subpar food.,1,"['nice', 'blanket', 'moz', 'top', 'feel', 'like', 'done', 'cover', 'subpar', 'food']",0.55,75,10
The bathrooms are clean and the place itself is well decorated.,1,"['bathroom', 'clean', 'place', 'well', 'decorated']",0.3666666666666667,47,5
"The menu is always changing, food quality is going down & service is extremely slow.",0,"['menu', 'always', 'changing', 'food', 'quality', 'going', 'service', 'extremely', 'slow']",-0.30000000000000004,82,9
"The service was a little slow , considering that were served by 3 people servers so the food was coming in a slow pace.",0,"['service', 'little', 'slow', 'considering', 'served', '3', 'people', 'server', 'food', 'coming', 'slow', 'pace']",-0.2625,102,12
I give it 2 thumbs down,0,"['give', '2', 'thumb']",0.0,20,3
We watched our waiter pay a lot more attention to other tables and ignore us.,0,"['watched', 'waiter', 'pay', 'lot', 'attention', 'table', 'ignore', 'u']",0.0,65,8
My fiancé and I came in the middle of the day and we were greeted and seated right away.,1,"['fiancé', 'came', 'middle', 'day', 'greeted', 'seated', 'right', 'away']",0.14285714285714285,66,8
This is a great restaurant at the Mandalay Bay.,1,"['great', 'restaurant', 'mandalay', 'bay']",0.8,39,4
We waited for forty five minutes in vain.,0,"['waited', 'forty', 'five', 'minute', 'vain']",0.0,41,5
Crostini that came with the salad was stale.,0,"['crostini', 'came', 'salad', 'stale']",-0.5,35,4
Some highlights : Great quality nigiri here!,1,"['highlight', 'great', 'quality', 'nigiri']",0.8,40,4
the staff is friendly and the joint is always clean.,1,"['staff', 'friendly', 'joint', 'always', 'clean']",0.37083333333333335,45,5
this was a different cut than the piece the other day but still wonderful and tender s well as well flavored.,1,"['different', 'cut', 'piece', 'day', 'still', 'wonderful', 'tender', 'well', 'well', 'flavored']",0.5,87,10
I ordered the Voodoo pasta and it was the first time I'd had really excellent pasta since going gluten free several years ago.,1,"['ordered', 'voodoo', 'pasta', 'first', 'time', 'id', 'really', 'excellent', 'pasta', 'since', 'going', 'gluten', 'free', 'several', 'year', 'ago']",0.4125,132,16
this place is good.,1,"['place', 'good']",0.7,16,2
"Unfortunately, we must have hit the bakery on leftover day because everything we ordered was STALE.",0,"['unfortunately', 'must', 'hit', 'bakery', 'leftover', 'day', 'everything', 'ordered', 'stale']",-0.5,87,9
I came back today since they relocated and still not impressed.,0,"['came', 'back', 'today', 'since', 'relocated', 'still', 'impressed']",0.5,63,7
I was seated immediately.,1,"['seated', 'immediately']",0.0,24,2
"Their menu is diverse, and reasonably priced.",1,"['menu', 'diverse', 'reasonably', 'priced']",0.2,40,4
Avoid at all cost!,0,"['avoid', 'cost']",0.0,16,2
Restaurant is always full but never a wait.,1,"['restaurant', 'always', 'full', 'never', 'wait']",0.35,45,5
DELICIOUS!!,1,['delicious'],1.0,13,1
This place is hands-down one of the best places to eat in the Phoenix metro area.,1,"['place', 'handsdown', 'one', 'best', 'place', 'eat', 'phoenix', 'metro', 'area']",1.0,73,9
So don't go there if you are looking for good food...,0,"['dont', 'go', 'looking', 'good', 'food']",0.7,37,5
I've never been treated so bad.,0,"['ive', 'never', 'treated', 'bad']",-0.6999999999999998,31,4
Bacon is hella salty.,1,"['bacon', 'hella', 'salty']",0.0,25,3
"We also ordered the spinach and avocado salad, the ingredients were sad and the dressing literally had zero taste.",0,"['also', 'ordered', 'spinach', 'avocado', 'salad', 'ingredient', 'sad', 'dressing', 'literally', 'zero', 'taste']",-0.5,103,11
"This really is how Vegas fine dining used to be, right down to the menus handed to the ladies that have no prices listed.",1,"['really', 'vega', 'fine', 'dining', 'used', 'right', 'menu', 'handed', 'lady', 'price', 'listed']",0.3007936507936508,88,11
The waitresses are very friendly.,1,"['waitress', 'friendly']",0.375,23,2
"Lordy, the Khao Soi is a dish that is not to be missed for curry lovers!",1,"['lordy', 'khao', 'soi', 'dish', 'missed', 'curry', 'lover']",0.0,54,7
Everything on the menu is terrific and we were also thrilled that they made amazing accommodations for our vegetarian daughter.,1,"['everything', 'menu', 'terrific', 'also', 'thrilled', 'made', 'amazing', 'accommodation', 'vegetarian', 'daughter']",0.4000000000000001,107,10
"Perhaps I caught them on an off night judging by the other reviews, but I'm not inspired to go back.",0,"['perhaps', 'caught', 'night', 'judging', 'review', 'im', 'inspired', 'go', 'back']",0.0,75,9
The service here leaves a lot to be desired.,0,"['service', 'leaf', 'lot', 'desired']",0.0,34,4
"The atmosphere is modern and hip, while maintaining a touch of coziness.",1,"['atmosphere', 'modern', 'hip', 'maintaining', 'touch', 'coziness']",0.2,62,6
"Not a weekly haunt, but definitely a place to come back to every once in a while.",1,"['weekly', 'haunt', 'definitely', 'place', 'come', 'back', 'every']",0.0,61,7
We literally sat there for 20 minutes with no one asking to take our order.,0,"['literally', 'sat', '20', 'minute', 'one', 'asking', 'take', 'order']",0.0,63,8
"The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.",0,"['burger', 'absolutely', 'flavor', 'meat', 'totally', 'bland', 'burger', 'overcooked', 'charcoal', 'flavor']",0.016666666666666677,99,10
I also decided not to send it back because our waitress looked like she was on the verge of having a heart attack.,0,"['also', 'decided', 'send', 'back', 'waitress', 'looked', 'like', 'verge', 'heart', 'attack']",0.0,84,10
I dressed up to be treated so rudely!,0,"['dressed', 'treated', 'rudely']",-0.3,30,3
It was probably dirt.,0,"['probably', 'dirt']",0.0,19,2
"Love this place, hits the spot when I want something healthy but not lacking in quantity or flavor.",1,"['love', 'place', 'hit', 'spot', 'want', 'something', 'healthy', 'lacking', 'quantity', 'flavor']",0.5,88,10
I ordered the Lemon raspberry ice cocktail which was also incredible.,1,"['ordered', 'lemon', 'raspberry', 'ice', 'cocktail', 'also', 'incredible']",0.9,68,7
"The food sucked, which we expected but it sucked more than we could have imagined.",0,"['food', 'sucked', 'expected', 'sucked', 'could', 'imagined']",-0.1,56,6
Interesting decor.,1,"['interesting', 'decor']",0.5,23,2
What I really like there is the crepe station.,1,"['really', 'like', 'crepe', 'station']",0.2,35,4
"Also were served hot bread and butter, and home made potato chips with bacon bits on top....very original and very good.",1,"['also', 'served', 'hot', 'bread', 'butter', 'home', 'made', 'potato', 'chip', 'bacon', 'bit', 'topvery', 'original', 'good']",0.44166666666666665,112,14
you can watch them preparing the delicious food!),1,"['watch', 'preparing', 'delicious', 'food']",1.0,40,4
Both of the egg rolls were fantastic.,1,"['egg', 'roll', 'fantastic']",0.4,26,3
"When my order arrived, one of the gyros was missing.",0,"['order', 'arrived', 'one', 'gyro', 'missing']",-0.2,42,5
"I had a salad with the wings, and some ice cream for dessert and left feeling quite satisfied.",1,"['salad', 'wing', 'ice', 'cream', 'dessert', 'left', 'feeling', 'quite', 'satisfied']",0.25,77,9
I'm not really sure how Joey's was voted best hot dog in the Valley by readers of Phoenix Magazine.,0,"['im', 'really', 'sure', 'joeys', 'voted', 'best', 'hot', 'dog', 'valley', 'reader', 'phoenix', 'magazine']",0.5833333333333334,96,12
The best place to go for a tasty bowl of Pho!,1,"['best', 'place', 'go', 'tasty', 'bowl', 'pho']",1.0,42,6
The live music on Fridays totally blows.,0,"['live', 'music', 'friday', 'totally', 'blow']",0.06818181818181818,42,5
I've never been more insulted or felt disrespected.,0,"['ive', 'never', 'insulted', 'felt', 'disrespected']",0.0,48,5
Very friendly staff.,1,"['friendly', 'staff']",0.375,20,2
It is worth the drive.,1,"['worth', 'drive']",0.3,17,2
"I had heard good things about this place, but it exceeding every hope I could have dreamed of.",1,"['heard', 'good', 'thing', 'place', 'exceeding', 'every', 'hope', 'could', 'dreamed']",0.7,77,9
Food was great and so was the serivce!,1,"['food', 'great', 'serivce']",0.8,26,3
The warm beer didn't help.,0,"['warm', 'beer', 'didnt', 'help']",0.6,30,4
Great brunch spot.,1,"['great', 'brunch', 'spot']",0.8,25,3
Service is friendly and inviting.,1,"['service', 'friendly', 'inviting']",0.375,33,3
Very good lunch spot.,1,"['good', 'lunch', 'spot']",0.7,23,3
I've lived here since 1979 and this was the first (and last) time I've stepped foot into this place.,0,"['ive', 'lived', 'since', '1979', 'first', 'last', 'time', 'ive', 'stepped', 'foot', 'place']",0.125,83,11
The WORST EXPERIENCE EVER.,0,"['worst', 'experience', 'ever']",-1.0,29,3
Must have been an off night at this place.,0,"['must', 'night', 'place']",0.0,24,3
"The sides are delish - mixed mushrooms, yukon gold puree, white corn - beateous.",1,"['side', 'delish', 'mixed', 'mushroom', 'yukon', 'gold', 'puree', 'white', 'corn', 'beateous']",0.0,85,10
"If that bug never showed up I would have given a 4 for sure, but on the other side of the wall where this bug was climbing was the kitchen.",0,"['bug', 'never', 'showed', 'would', 'given', '4', 'sure', 'side', 'wall', 'bug', 'climbing', 'kitchen']",0.5,92,12
"For about 10 minutes, we we're waiting for her salad when we realized that it wasn't coming any time soon.",0,"['10', 'minute', 'waiting', 'salad', 'realized', 'wasnt', 'coming', 'time', 'soon']",0.0,75,9
My friend loved the salmon tartar.,1,"['friend', 'loved', 'salmon', 'tartar']",0.7,36,4
Won't go back.,0,"['wont', 'go', 'back']",0.0,20,3
Extremely Tasty!,1,"['extremely', 'tasty']",-0.125,21,2
Waitress was good though!,1,"['waitress', 'good', 'though']",0.7,28,3
Soggy and not good.,0,"['soggy', 'good']",0.7,16,2
The Jamaican mojitos are delicious.,1,"['jamaican', 'mojitos', 'delicious']",1.0,34,3
Which are small and not worth the price.,0,"['small', 'worth', 'price']",0.024999999999999994,25,3
- the food is rich so order accordingly.,1,"['', 'food', 'rich', 'order', 'accordingly']",0.375,40,5
